# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Nov  4 01:31:51 2022
#
# User preference: *
#
# CONSTRAINT:  order by st_ppnum desc, hip_name asc
#
# COLUMN star_name:      Star Name
# COLUMN hip_name:       HIP Name
# COLUMN hd_name:        HD Name
# COLUMN st_ppnum:       Number of Planets in System
# COLUMN st_dist:        Distance [pc]
# COLUMN st_disterr1:    Distance Upper Unc. [pc]
# COLUMN st_disterr2:    Distance Lower Unc. [pc]
# COLUMN st_spttype:     Spectral Type
# COLUMN st_lbol:        Stellar Bolometric Luminosity [Solar]
# COLUMN st_lbolerr:     Stellar Bolometric Luminosity Unc. [Solar]
# COLUMN st_pmra:        Proper Motion (RA) [mas/yr]
# COLUMN st_pmraerr:     Proper Motion (RA) Unc. [mas/yr]
# COLUMN st_pmdec:       Proper Motion (Dec) [mas/yr]
# COLUMN st_pmdecerr:    Proper Motion (Dec) Unc. [mas/yr]
# COLUMN st_glon:        Galactic Longitude [deg]
# COLUMN st_glat:        Galactic Latitude [deg]
# COLUMN st_mbol:        Bolometric Magnitude [mag]
# COLUMN st_mbolerr:     Bolometric Magnitude Unc. [mag]
# COLUMN st_lumclass:    Luminosity Class
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr:      Stellar Radius Unc. [Solar radii]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr:     Stellar Mass Unc. [Solar mass]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr:     Stellar Surface Gravity Unc. [log10(cm/s**2)]
#
star_name,hip_name,hd_name,st_ppnum,st_dist,st_disterr1,st_disterr2,st_spttype,st_lbol,st_lbolerr,st_pmra,st_pmraerr,st_pmdec,st_pmdecerr,st_glon,st_glat,st_mbol,st_mbolerr,st_lumclass,st_rad,st_raderr,st_mass,st_masserr,st_logg,st_loggerr
gam Cep,HIP 116727,HD 222404,1,14.10,0.14,-0.14,K1IV,11.840,0.100,-48.900,,127.200,,118.992203,15.315201,2.460,0.020,GIANT,5.05,,1.88,,3.21,
eps Eri,HIP 16537,HD 22049,1,3.21,,,K2.0V,0.350,0.060,-976.400,,18.000,,195.846551,-48.049255,6.180,0.020,MAINSEQ,0.77,,0.86,,4.61,
HD 26965,HIP 19849,HD 26965,1,4.98,,,K0.5V,0.420,0.100,-2239.300,,-3419.900,,200.746863,-38.039018,5.940,0.010,MAINSEQ,0.82,,0.81,,4.55,
HD 27442,HIP 19921,HD 27442,1,18.24,,,K1/2III,6.880,0.050,-48.000,,-167.800,,270.203688,-42.563169,3.140,0.010,GIANT,3.43,,1.48,,3.56,
alf Tau,HIP 21421,HD 29139,1,20.43,0.42,-0.40,K5III,469.490,0.060,62.800,,-189.400,,180.971467,-20.248071,-0.680,0.040,GIANT,47.70,,4.84,,,
HD 30562,HIP 22336,HD 30562,1,26.42,0.27,-0.26,G5V,3.080,0.060,312.700,,-249.300,,203.395319,-29.824383,3.650,0.040,MAINSEQ,1.58,,1.28,,4.16,
GJ 179,HIP 22627,,1,12.29,0.65,-0.59,M4,0.020,0.150,146.100,,-310.100,,192.224954,-22.862373,11.570,0.120,MAINSEQ,0.41,,0.36,,,
HD 3651,HIP 3093,HD 3651,1,11.06,,,K0V,0.540,0.050,-461.100,,-370.900,,119.174225,-41.532261,5.660,0.010,MAINSEQ,0.88,,0.88,,4.51,
HD 62509,HIP 37826,HD 62509,1,10.36,,,K0IIIvar,40.950,0.050,-625.700,,-46.000,,192.229766,23.407820,1.080,0.010,GIANT,9.06,,2.59,,2.52,
HD 70642,HIP 40952,HD 70642,1,28.07,0.28,-0.28,G8/K1(III+F/G),0.980,0.050,-202.100,,225.600,,257.613095,-1.672595,4.920,0.050,MAINSEQ,1.02,,1.00,,4.45,
HD 72659,HIP 42030,HD 72659,1,51.97,0.14,-0.14,G2 V,,,-112.500,0.100,-96.600,0.000,226.753797,21.881152,,,,1.46,0.02,1.43,0.11,4.27,0.03
GJ 328,HIP 43790,,1,19.79,0.82,-0.76,M1,0.100,0.090,45.800,,-1044.300,,226.702874,28.001929,8.510,0.090,MAINSEQ,0.67,,0.55,,,
HD 87883,HIP 49699,HD 87883,1,18.20,0.18,-0.18,K0,0.350,0.050,-64.500,,-60.300,,191.186355,54.540662,6.250,0.040,MAINSEQ,0.78,,0.80,,4.56,
HD 89307,HIP 50473,HD 89307,1,32.04,0.05,-0.05,G0,,,-272.400,0.100,-39.400,0.100,227.304203,51.395667,,,,1.10,0.01,1.27,0.12,4.46,0.04
HD 99492,HIP 55848,HD 99492,1,17.96,0.56,-0.52,K2/4,0.340,0.070,-730.100,,191.200,,259.282782,58.509123,6.260,0.070,MAINSEQ,0.76,,0.83,,4.61,
HD 102365,HIP 57443,HD 102365,1,9.22,,,G3/5V,0.860,0.050,-1531.700,,403.400,,289.803185,20.710122,5.070,0.010,MAINSEQ,0.96,,0.89,,4.45,
HD 7449,HIP 5806,HD 7449,1,38.71,0.06,-0.06,G0 V,,,-164.500,0.100,-134.400,0.100,137.918787,-67.246005,,,,,,1.05,,4.51,
HD 106515 A,HIP 59743 A,HD 106515 A,1,34.12,0.08,-0.08,G5,1.230,,-251.600,0.100,-51.400,0.100,287.285812,54.507094,,,,1.62,0.05,0.97,0.01,4.41,0.04
HD 114613,HIP 64408,HD 114613,1,20.67,0.21,-0.20,G3V,4.480,0.060,-382.400,,47.000,,307.420494,24.888883,3.270,0.030,MAINSEQ,2.01,,1.25,,3.95,
HD 117207,HIP 65808,HD 117207,1,32.38,0.05,-0.05,G8 IV/V,,,-206.000,0.100,-71.500,0.100,311.552426,26.665355,,,,1.07,0.04,1.05,0.03,4.37,0.04
tau Boo,HIP 67275,HD 120136,1,15.62,,,F7V,3.350,0.060,-480.300,,54.200,,358.938940,73.887991,3.510,0.020,MAINSEQ,1.46,,1.34,,4.27,
iot Dra,HIP 75458,HD 137759,1,31.67,0.30,-0.30,K2 III,,,-8.600,0.700,18.500,0.600,93.971038,48.627879,,,,,,1.05,,2.60,0.25
HD 142022 A,HIP 79242,HD 142022 A,1,34.31,0.03,-0.03,K0,,,-337.100,0.000,-31.200,0.000,307.720278,-23.317230,,,,1.04,0.03,0.90,0.05,4.35,0.00
14 Her,HIP 79248,HD 145675,1,17.57,0.18,-0.17,K0V,0.700,0.040,132.500,,-298.400,,69.171478,46.945241,5.380,0.030,MAINSEQ,0.96,,1.07,,4.51,
HD 10647,HIP 7978,HD 10647,1,17.43,,,F8V,1.640,0.100,167.000,,-106.700,,286.897916,-61.769730,4.310,0.030,MAINSEQ,1.14,,1.10,,4.39,
HD 147513,HIP 80337,HD 147513,1,12.78,,,G3/5V,1.030,0.060,72.600,,3.400,,341.620685,7.212852,4.840,0.030,MAINSEQ,0.98,,1.07,,4.50,
HD 150706,HIP 80902,HD 150706,1,28.22,0.29,-0.28,G0,1.110,0.050,95.800,,-88.000,,113.007512,32.638364,4.760,0.040,MAINSEQ,1.01,,1.03,,,
GJ 649,HIP 83043,,1,10.34,0.10,-0.10,M2,0.050,0.100,-113.200,,-507.800,,46.525296,35.337495,9.580,0.040,MAINSEQ,0.53,,0.46,,,
HD 154345,HIP 83389,HD 154345,1,18.59,0.19,-0.18,G8V,0.650,0.020,123.500,,854.700,,73.019589,37.663819,5.410,0.020,MAINSEQ,0.86,,0.89,,4.53,
alf Ari,HIP 9884,HD 12929,1,20.18,0.20,-0.20,K2III,85.890,0.050,190.700,,-145.800,,144.577740,-36.205318,0.490,0.020,GIANT,15.21,,3.13,,2.20,
HIP 100017,HIP 100017,HD 193664,0,17.57,,,G3V,1.180,0.100,468.500,,296.800,,100.459994,16.915189,4.690,0.030,MAINSEQ,1.03,,1.02,,4.43,
HIP 102333,HIP 102333,HD 197157,0,24.17,0.24,-0.24,A7III/IV,7.610,0.100,155.500,,-53.600,,346.690658,-38.162105,2.580,0.030,MAINSEQ,1.66,,1.68,,4.23,
HIP 102422,HIP 102422,HD 198149,0,14.27,,,K0IV,9.370,0.060,86.100,,817.900,,97.866540,11.642599,2.640,0.020,GIANT,4.18,,1.77,,3.27,
HIP 102431,HIP 102431,HD 198084,0,27.29,0.28,-0.27,F8IV-V,10.110,0.110,-63.000,,-235.600,,94.429764,9.056116,2.340,0.030,MAINSEQ,2.81,,1.81,,,
HIP 102485,HIP 102485,HD 197692,0,14.68,,,F5V,4.060,0.100,-51.400,,-156.700,,20.004114,-35.500565,3.300,0.010,MAINSEQ,1.52,,1.43,,4.22,
HIP 102488,HIP 102488,HD 197989,0,22.29,,,K0III,60.040,0.060,356.200,,330.300,,75.950146,-5.715149,0.710,0.020,GIANT,11.20,,2.86,,2.39,
HIP 104214,HIP 104214,HD 201091,0,3.50,,,K5.0V,0.130,0.100,4155.100,,3258.900,,82.306996,-5.815829,7.480,0.020,MAINSEQ,0.62,,0.66,,4.70,
HIP 104217,HIP 104217,HD 201092,0,3.50,,,K7.0V,0.100,0.100,4107.400,,3143.700,,82.304677,-5.823847,8.230,0.030,MAINSEQ,0.54,,0.56,,4.71,
HIP 104239 A,HIP 104239 A,HD 200968,0,17.57,0.18,-0.17,K1V,0.440,0.110,382.300,,-46.500,,35.272502,-36.294007,5.970,0.040,MAINSEQ,0.80,,0.88,,4.59,
HIP 104858 A,HIP 104858 A,HD 202275 A,0,18.49,0.19,-0.18,F5V+...,4.790,0.060,42.300,,-303.400,,60.493267,-25.655005,3.140,0.040,MAINSEQ,1.87,,1.49,,4.05,
HIP 104887 A,HIP 104887 A,HD 202444,0,20.34,0.21,-0.20,F1IV,11.130,0.050,195.700,,410.000,,82.852657,-7.432528,2.200,0.020,MAINSEQ,2.53,,1.86,,3.54,
HIP 105090,HIP 105090,HD 202560,0,3.95,,,K9.0V,0.080,0.100,-3259.000,,-1147.000,,3.908414,-44.264302,8.710,0.010,MAINSEQ,0.51,,0.56,,4.78,
HIP 105199,HIP 105199,HD 203280,0,15.04,,,A7IV-V,19.930,0.060,149.900,,48.300,,100.998616,9.172206,1.540,0.020,MAINSEQ,2.46,,2.15,,3.45,
HIP 105312 A,HIP 105312 A,HD 202940,0,17.97,0.18,-0.18,G5V,0.780,0.040,-582.400,,-357.700,,21.182656,-43.099450,5.290,0.040,MAINSEQ,1.03,,0.94,,4.32,
HIP 105858,HIP 105858,HD 203608,0,9.26,,,F7V,1.540,0.060,81.100,,800.700,,328.154288,-40.291152,4.390,0.020,MAINSEQ,1.07,,1.12,,4.42,
HIP 10644,HIP 10644,HD 13974,0,10.78,,,G0V,1.210,0.060,1151.600,,-246.300,,142.440050,-25.383355,4.700,0.030,MAINSEQ,1.14,,1.05,,,
HIP 10670,HIP 10670,HD 14055,0,36.06,1.06,-1.13,A0,,,44.800,0.700,-53.000,0.700,142.649662,-25.715124,,,,,,,,,
HIP 107089,HIP 107089,HD 205478,0,21.20,0.88,-0.82,K0III,17.910,0.150,64.800,,-240.400,,314.289309,-35.189057,2.100,0.110,GIANT,6.19,,2.10,,,
HIP 107310 A,HIP 107310 A,HD 206826,0,22.24,0.22,-0.22,F6V,5.780,0.060,260.300,,-242.700,,80.584895,-18.339728,2.960,0.040,MAINSEQ,2.01,,1.57,,3.86,
HIP 107556,HIP 107556,HD 207098,0,11.87,,,A5mF2 (IV),8.380,0.060,263.300,,-296.200,,37.601138,-46.012373,2.480,0.020,,1.81,,1.72,,3.66,
HIP 107649,HIP 107649,HD 207129,0,15.99,0.16,-0.16,G0V,1.350,0.060,165.600,,-295.000,,350.879246,-49.105791,4.550,0.030,MAINSEQ,1.08,,1.02,,4.41,
HIP 108917 A,HIP 108917 A,HD 209790,0,29.59,0.92,-0.86,Am,12.570,0.130,214.500,,89.300,,106.156633,7.366250,2.050,0.090,MAINSEQ,2.43,,1.91,,,
HIP 109176,HIP 109176,HD 210027,0,11.73,0.12,-0.12,F5V,3.630,0.050,296.700,,26.900,,82.259355,-24.257998,3.420,0.020,MAINSEQ,1.53,,1.39,,,
HIP 109268,HIP 109268,HD 209952,0,31.09,0.77,-0.81,B7 IV,,,127.600,0.440,-147.910,0.500,349.998408,-52.473661,,,,,,,,,
HIP 109427,HIP 109427,HD 210418,0,28.30,0.58,-0.55,A2V,27.660,0.070,282.000,,31.200,,67.416285,-38.716479,1.260,0.050,MAINSEQ,2.38,,2.34,,3.86,
HIP 109857,HIP 109857,HD 211336,0,26.20,0.81,-0.76,F0IV,12.040,0.120,476.400,,50.000,,102.865092,0.395102,2.080,0.070,MAINSEQ,2.18,,1.89,,,
HIP 110109,HIP 110109,HD 211415,0,13.79,,,G3V,1.230,0.060,439.900,,-632.600,,339.014036,-51.386894,4.660,0.020,MAINSEQ,1.08,,1.05,,4.45,
HIP 110960 A,HIP 110960 A,HD 213052,0,28.17,1.17,-1.08,F3III-IV,23.180,0.130,191.300,,37.500,,65.353857,-46.330831,1.400,0.090,GIANT,3.66,,2.24,,,
HIP 111169,HIP 111169,HD 213558,0,31.39,0.52,-0.54,A0,,,137.220,0.340,17.150,0.360,101.259643,-6.597943,,,,,,,,,
HIP 112447,HIP 112447,HD 215648,0,16.30,,,F7V,4.860,0.100,233.100,,-492.000,,81.275330,-40.397628,3.140,0.010,MAINSEQ,1.89,,1.22,,4.00,
HIP 112724,HIP 112724,HD 216228,0,35.37,0.64,-0.66,K0 III,,,-65.900,0.800,-124.400,0.800,111.065137,6.175125,,,,,,,,,
HIP 112748,HIP 112748,HD 216131,0,35.78,0.96,-1.01,G8 III,,,146.200,0.400,-44.200,0.400,90.679565,-30.558032,,,,,,,,,
Fomalhaut,HIP 113368,HD 216956,0,7.70,,,A3V,16.470,0.040,329.200,,-164.200,,20.488920,-64.908765,1.800,0.020,MAINSEQ,1.92,,2.05,,4.14,
HIP 113576,HIP 113576,HD 217357,0,8.22,0.08,-0.08,K5/M0V,0.100,0.030,-904.200,,58.100,,37.139562,-64.416281,8.300,0.020,MAINSEQ,0.58,,0.62,,4.73,
HIP 113638,HIP 113638,HD 217364,0,34.49,1.49,-1.63,G8/K0 III,,,-68.300,0.800,-12.400,0.800,334.111281,-57.157860,,,,,,,,,
HIP 114570,HIP 114570,HD 219080,0,24.59,0.25,-0.24,F0V,7.720,0.060,89.800,,95.600,,106.872038,-10.357240,2.570,0.030,MAINSEQ,1.80,,1.69,,3.93,
HIP 114996,HIP 114996,HD 219571,0,23.06,0.23,-0.23,F3IV/V,11.420,0.070,-34.900,,79.600,,324.299558,-54.818668,2.170,0.050,MAINSEQ,2.57,,1.87,,3.82,
HIP 116085,HIP 116085,HD 221354,0,16.93,0.17,-0.17,K2V,0.580,0.040,1106.100,,113.000,,112.817499,-2.124607,5.600,0.030,MAINSEQ,0.88,,0.84,,4.49,
HIP 116584,HIP 116584,HD 222107,0,26.41,0.27,-0.26,G8III-IV,25.570,0.060,159.200,,-421.500,,109.902895,-14.535139,1.750,0.030,GIANT,7.83,,2.30,,2.79,
HIP 116771,HIP 116771,HD 222368,0,13.71,,,F7V,3.700,0.100,376.300,,-437.000,,92.463239,-52.962603,3.440,0.010,MAINSEQ,1.64,,1.27,,4.13,
HIP 117712,HIP 117712,HD 223778,0,10.89,,,K3V,0.390,0.100,341.800,,41.900,,119.188610,13.103596,6.200,0.030,MAINSEQ,0.93,,0.79,,4.46,
HIP 118268,HIP 118268,HD 224617,0,32.49,0.89,-0.94,F5,,,147.900,0.300,-112.900,0.300,100.689026,-53.742090,,,,,,,,,
HIP 12114,HIP 12114,HD 16160,0,7.18,,,K3V,0.290,0.100,1806.300,,1442.500,,163.399783,-47.598704,6.540,0.030,MAINSEQ,0.76,,0.81,,4.62,
HIP 12706 A,HIP 12706 A,HD 16970,0,24.41,0.50,-0.48,A2Va,21.160,0.060,-146.400,,-145.300,,168.919293,-49.381875,1.530,0.040,MAINSEQ,2.04,,2.19,,3.96,
HIP 12777,HIP 12777,HD 16895,0,11.13,,,F7V,2.420,0.060,334.000,,-90.000,,141.164678,-9.609765,3.870,0.020,MAINSEQ,1.23,,1.24,,4.38,
HIP 12828,HIP 12828,HD 17094,0,25.77,0.26,-0.26,F1III-IV,10.720,0.100,285.200,,-30.400,,163.253863,-43.694502,2.210,0.020,MAINSEQ,2.09,,1.84,,3.90,
HIP 12843,HIP 12843,HD 17206,0,14.22,0.44,-0.41,F5/6V,2.830,0.080,330.900,,36.300,,200.833163,-62.527282,3.710,0.070,MAINSEQ,1.38,,1.31,,4.06,
HIP 13402,HIP 13402,HD 17925,0,10.35,,,K1V,0.420,0.060,398.100,,-189.600,,192.072102,-58.254606,5.970,0.030,MAINSEQ,0.80,,0.89,,4.60,
HIP 14146,HIP 14146,HD 18978,0,27.17,,,A4V,14.410,0.050,-146.000,,-55.800,,213.538866,-60.296284,1.910,0.010,MAINSEQ,1.95,,1.98,,3.93,
HIP 14576,HIP 14576,HD 19356,0,27.57,1.15,-1.06,B8V,141.600,0.100,2.400,,-1.400,,148.976533,-14.900194,-0.100,0.090,MAINSEQ,4.27,,3.56,,,
HIP 14632,HIP 14632,HD 19373,0,10.54,,,G0V,2.360,0.050,1262.300,,-91.500,,144.595022,-7.381462,3.940,0.010,MAINSEQ,1.38,,1.18,,4.27,
HIP 14668,HIP 14668,HD 19476,0,34.42,0.76,-0.80,K0,,,176.900,0.900,-146.300,0.900,147.123137,-11.432038,,,,,,,,,
HIP 14879 A,HIP 14879 A,HD 20010,0,14.24,0.14,-0.14,F8V,5.300,0.060,371.500,,612.300,,224.733230,-59.031294,3.030,0.020,MAINSEQ,1.96,,1.53,,3.81,
HIP 15330,HIP 15330,HD 20766,0,12.01,,,G3/5V,0.800,0.050,1337.800,,648.700,,279.100992,-47.215536,5.130,0.010,MAINSEQ,0.92,,0.96,,4.51,
HIP 15371,HIP 15371,HD 20807,0,12.03,,,G2V,1.030,0.050,1331.100,,646.800,,278.974580,-47.218480,4.840,0.010,MAINSEQ,0.99,,0.99,,4.47,
HIP 15457,HIP 15457,HD 20630,0,9.14,,,G5V,0.880,0.060,268.900,,93.500,,178.222928,-43.072751,5.040,0.020,MAINSEQ,0.95,,1.03,,4.52,
HIP 1599,HIP 1599,HD 1581,0,8.59,,,G0V,1.330,0.050,1707.600,,1165.400,,308.327590,-51.920264,4.560,0.010,MAINSEQ,1.07,,1.01,,4.41,
HIP 16245,HIP 16245,HD 22001,0,21.68,,,F3IV/V,5.180,0.060,383.100,,373.100,,278.352535,-45.936226,3.020,0.020,MAINSEQ,1.73,,1.52,,3.86,
HIP 16852,HIP 16852,HD 22484,0,13.96,0.14,-0.14,F8V,3.290,0.050,-232.700,,-482.000,,185.123807,-41.665785,3.570,0.020,MAINSEQ,1.58,,1.16,,4.12,
