# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Nov  4 01:22:58 2022
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN sy_mnum:        Number of Moons
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_facility:  Discovery Facility
# COLUMN sy_gaiamag:     Gaia Magnitude
#
pl_name,hostname,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_facility,sy_gaiamag
16 Cyg B b,16 Cyg B,3,1,0,Radial Velocity,Multiple Observatories,6.0642800
16 Cyg B b,16 Cyg B,3,1,0,Radial Velocity,Multiple Observatories,6.0642800
17 Sco b,17 Sco,1,1,0,Radial Velocity,Lick Observatory,4.7542900
18 Del b,18 Del,2,1,0,Radial Velocity,Okayama Astrophysical Observatory,5.2747600
18 Del b,18 Del,2,1,0,Radial Velocity,Okayama Astrophysical Observatory,5.2747600
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,0,Imaging,Gemini Observatory,12.0572000
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,0,Imaging,Gemini Observatory,12.0572000
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,0,Imaging,Gemini Observatory,12.0572000
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,0,Imaging,Gemini Observatory,12.0572000
24 Boo b,24 Boo,1,1,0,Radial Velocity,Okayama Astrophysical Observatory,5.3339000
24 Sex b,24 Sex,1,2,0,Radial Velocity,Lick Observatory,6.2037400
24 Sex c,24 Sex,1,2,0,Radial Velocity,Lick Observatory,6.2037400
2M0437 b,2MASS J04372171+2651014,1,1,0,Imaging,Subaru Telescope,14.3374000
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,0,Imaging,Paranal Observatory,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,0,Imaging,W. M. Keck Observatory,12.9025000
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,0,Imaging,W. M. Keck Observatory,12.9025000
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,0,Imaging,Cerro Tololo Inter-American Observatory,15.0123000
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,0,Imaging,Hubble Space Telescope,18.9668000
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,0,Imaging,Paranal Observatory,17.4076000
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,0,Imaging,Paranal Observatory,17.4076000
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,0,Eclipse Timing Variations,Kepler,12.1376000
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,0,Eclipse Timing Variations,Kepler,12.1376000
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,0,Imaging,W. M. Keck Observatory,11.9484000
30 Ari B b,30 Ari B,4,1,0,Radial Velocity,Thueringer Landessternwarte Tautenburg,6.9608500
30 Ari B b,30 Ari B,4,1,0,Radial Velocity,Thueringer Landessternwarte Tautenburg,6.9608500
30 Ari B b,30 Ari B,4,1,0,Radial Velocity,Thueringer Landessternwarte Tautenburg,6.9608500
4 UMa b,4 UMa,1,1,0,Radial Velocity,Thueringer Landessternwarte Tautenburg,4.2377300
42 Dra b,42 Dra,2,1,0,Radial Velocity,Thueringer Landessternwarte Tautenburg,4.4321600
47 UMa b,47 UMa,1,3,0,Radial Velocity,Lick Observatory,4.8783700
47 UMa b,47 UMa,1,3,0,Radial Velocity,Lick Observatory,4.8783700
47 UMa b,47 UMa,1,3,0,Radial Velocity,Lick Observatory,4.8783700
47 UMa b,47 UMa,1,3,0,Radial Velocity,Lick Observatory,4.8783700
47 UMa b,47 UMa,1,3,0,Radial Velocity,Lick Observatory,4.8783700
47 UMa c,47 UMa,1,3,0,Radial Velocity,Lick Observatory,4.8783700
47 UMa c,47 UMa,1,3,0,Radial Velocity,Lick Observatory,4.8783700
47 UMa c,47 UMa,1,3,0,Radial Velocity,Lick Observatory,4.8783700
47 UMa d,47 UMa,1,3,0,Radial Velocity,Lick Observatory,4.8783700
47 UMa d,47 UMa,1,3,0,Radial Velocity,Lick Observatory,4.8783700
51 Eri b,51 Eri,3,1,0,Imaging,Gemini Observatory,5.1580600
51 Eri b,51 Eri,3,1,0,Imaging,Gemini Observatory,5.1580600
51 Eri b,51 Eri,3,1,0,Imaging,Gemini Observatory,5.1580600
51 Peg b,51 Peg,1,1,0,Radial Velocity,Haute-Provence Observatory,5.2864700
51 Peg b,51 Peg,1,1,0,Radial Velocity,Haute-Provence Observatory,5.2864700
51 Peg b,51 Peg,1,1,0,Radial Velocity,Haute-Provence Observatory,5.2864700
51 Peg b,51 Peg,1,1,0,Radial Velocity,Haute-Provence Observatory,5.2864700
51 Peg b,51 Peg,1,1,0,Radial Velocity,Haute-Provence Observatory,5.2864700
55 Cnc b,55 Cnc,2,5,0,Radial Velocity,Lick Observatory,5.7297300
55 Cnc b,55 Cnc,2,5,0,Radial Velocity,Lick Observatory,5.7297300
55 Cnc b,55 Cnc,2,5,0,Radial Velocity,Lick Observatory,5.7297300
55 Cnc b,55 Cnc,2,5,0,Radial Velocity,Lick Observatory,5.7297300
55 Cnc b,55 Cnc,2,5,0,Radial Velocity,Lick Observatory,5.7297300
55 Cnc b,55 Cnc,2,5,0,Radial Velocity,Lick Observatory,5.7297300
55 Cnc b,55 Cnc,2,5,0,Radial Velocity,Lick Observatory,5.7297300
55 Cnc b,55 Cnc,2,5,0,Radial Velocity,Lick Observatory,5.7297300
55 Cnc b,55 Cnc,2,5,0,Radial Velocity,Lick Observatory,5.7297300
55 Cnc b,55 Cnc,2,5,0,Radial Velocity,Lick Observatory,5.7297300
55 Cnc b,55 Cnc,2,5,0,Radial Velocity,Lick Observatory,5.7297300
55 Cnc b,55 Cnc,2,5,0,Radial Velocity,Lick Observatory,5.7297300
55 Cnc c,55 Cnc,2,5,0,Radial Velocity,McDonald Observatory,5.7297300
55 Cnc c,55 Cnc,2,5,0,Radial Velocity,McDonald Observatory,5.7297300
55 Cnc c,55 Cnc,2,5,0,Radial Velocity,McDonald Observatory,5.7297300
55 Cnc c,55 Cnc,2,5,0,Radial Velocity,McDonald Observatory,5.7297300
55 Cnc c,55 Cnc,2,5,0,Radial Velocity,McDonald Observatory,5.7297300
55 Cnc c,55 Cnc,2,5,0,Radial Velocity,McDonald Observatory,5.7297300
55 Cnc c,55 Cnc,2,5,0,Radial Velocity,McDonald Observatory,5.7297300
55 Cnc c,55 Cnc,2,5,0,Radial Velocity,McDonald Observatory,5.7297300
55 Cnc d,55 Cnc,2,5,0,Radial Velocity,Lick Observatory,5.7297300
55 Cnc d,55 Cnc,2,5,0,Radial Velocity,Lick Observatory,5.7297300
55 Cnc d,55 Cnc,2,5,0,Radial Velocity,Lick Observatory,5.7297300
55 Cnc d,55 Cnc,2,5,0,Radial Velocity,Lick Observatory,5.7297300
55 Cnc d,55 Cnc,2,5,0,Radial Velocity,Lick Observatory,5.7297300
55 Cnc d,55 Cnc,2,5,0,Radial Velocity,Lick Observatory,5.7297300
55 Cnc d,55 Cnc,2,5,0,Radial Velocity,Lick Observatory,5.7297300
55 Cnc d,55 Cnc,2,5,0,Radial Velocity,Lick Observatory,5.7297300
55 Cnc d,55 Cnc,2,5,0,Radial Velocity,Lick Observatory,5.7297300
55 Cnc d,55 Cnc,2,5,0,Radial Velocity,Lick Observatory,5.7297300
55 Cnc e,55 Cnc,2,5,0,Radial Velocity,McDonald Observatory,5.7297300
55 Cnc e,55 Cnc,2,5,0,Radial Velocity,McDonald Observatory,5.7297300
55 Cnc e,55 Cnc,2,5,0,Radial Velocity,McDonald Observatory,5.7297300
55 Cnc e,55 Cnc,2,5,0,Radial Velocity,McDonald Observatory,5.7297300
55 Cnc e,55 Cnc,2,5,0,Radial Velocity,McDonald Observatory,5.7297300
55 Cnc e,55 Cnc,2,5,0,Radial Velocity,McDonald Observatory,5.7297300
55 Cnc e,55 Cnc,2,5,0,Radial Velocity,McDonald Observatory,5.7297300
55 Cnc e,55 Cnc,2,5,0,Radial Velocity,McDonald Observatory,5.7297300
55 Cnc e,55 Cnc,2,5,0,Radial Velocity,McDonald Observatory,5.7297300
55 Cnc e,55 Cnc,2,5,0,Radial Velocity,McDonald Observatory,5.7297300
55 Cnc e,55 Cnc,2,5,0,Radial Velocity,McDonald Observatory,5.7297300
55 Cnc e,55 Cnc,2,5,0,Radial Velocity,McDonald Observatory,5.7297300
55 Cnc e,55 Cnc,2,5,0,Radial Velocity,McDonald Observatory,5.7297300
55 Cnc e,55 Cnc,2,5,0,Radial Velocity,McDonald Observatory,5.7297300
55 Cnc e,55 Cnc,2,5,0,Radial Velocity,McDonald Observatory,5.7297300
55 Cnc f,55 Cnc,2,5,0,Radial Velocity,Multiple Observatories,5.7297300
55 Cnc f,55 Cnc,2,5,0,Radial Velocity,Multiple Observatories,5.7297300
55 Cnc f,55 Cnc,2,5,0,Radial Velocity,Multiple Observatories,5.7297300
55 Cnc f,55 Cnc,2,5,0,Radial Velocity,Multiple Observatories,5.7297300
55 Cnc f,55 Cnc,2,5,0,Radial Velocity,Multiple Observatories,5.7297300
55 Cnc f,55 Cnc,2,5,0,Radial Velocity,Multiple Observatories,5.7297300
55 Cnc f,55 Cnc,2,5,0,Radial Velocity,Multiple Observatories,5.7297300
6 Lyn b,6 Lyn,1,1,0,Radial Velocity,Okayama Astrophysical Observatory,5.6068600
6 Lyn b,6 Lyn,1,1,0,Radial Velocity,Okayama Astrophysical Observatory,5.6068600
6 Lyn b,6 Lyn,1,1,0,Radial Velocity,Okayama Astrophysical Observatory,5.6068600
61 Vir b,61 Vir,1,3,0,Radial Velocity,Multiple Observatories,4.5405200
61 Vir b,61 Vir,1,3,0,Radial Velocity,Multiple Observatories,4.5405200
61 Vir c,61 Vir,1,3,0,Radial Velocity,Multiple Observatories,4.5405200
61 Vir c,61 Vir,1,3,0,Radial Velocity,Multiple Observatories,4.5405200
61 Vir d,61 Vir,1,3,0,Radial Velocity,Multiple Observatories,4.5405200
7 CMa b,7 CMa,1,2,0,Radial Velocity,Anglo-Australian Telescope,3.6785300
7 CMa b,7 CMa,1,2,0,Radial Velocity,Anglo-Australian Telescope,3.6785300
7 CMa b,7 CMa,1,2,0,Radial Velocity,Anglo-Australian Telescope,3.6785300
7 CMa c,7 CMa,1,2,0,Radial Velocity,Multiple Observatories,3.6785300
70 Vir b,70 Vir,1,1,0,Radial Velocity,Lick Observatory,4.7617800
70 Vir b,70 Vir,1,1,0,Radial Velocity,Lick Observatory,4.7617800
70 Vir b,70 Vir,1,1,0,Radial Velocity,Lick Observatory,4.7617800
70 Vir b,70 Vir,1,1,0,Radial Velocity,Lick Observatory,4.7617800
70 Vir b,70 Vir,1,1,0,Radial Velocity,Lick Observatory,4.7617800
70 Vir b,70 Vir,1,1,0,Radial Velocity,Lick Observatory,4.7617800
75 Cet b,75 Cet,2,1,0,Radial Velocity,Okayama Astrophysical Observatory,5.0934300
8 UMi b,8 UMi,1,1,0,Radial Velocity,Bohyunsan Optical Astronomical Observatory,6.5589600
8 UMi b,8 UMi,1,1,0,Radial Velocity,Bohyunsan Optical Astronomical Observatory,6.5589600
81 Cet b,81 Cet,1,1,0,Radial Velocity,Okayama Astrophysical Observatory,5.3758800
81 Cet b,81 Cet,1,1,0,Radial Velocity,Okayama Astrophysical Observatory,5.3758800
91 Aqr b,91 Aqr,3,1,0,Radial Velocity,Lick Observatory,3.9531100
AB Aur b,AB Aur,1,1,0,Imaging,Subaru Telescope,7.0785400
AB Pic b,AB Pic,1,1,0,Imaging,Paranal Observatory,8.8378000
AU Mic b,AU Mic,1,2,0,Transit,Transiting Exoplanet Survey Satellite (TESS),7.8403800
AU Mic b,AU Mic,1,2,0,Transit,Transiting Exoplanet Survey Satellite (TESS),7.8403800
AU Mic b,AU Mic,1,2,0,Transit,Transiting Exoplanet Survey Satellite (TESS),7.8403800
AU Mic b,AU Mic,1,2,0,Transit,Transiting Exoplanet Survey Satellite (TESS),7.8403800
AU Mic b,AU Mic,1,2,0,Transit,Transiting Exoplanet Survey Satellite (TESS),7.8403800
AU Mic b,AU Mic,1,2,0,Transit,Transiting Exoplanet Survey Satellite (TESS),7.8403800
AU Mic b,AU Mic,1,2,0,Transit,Transiting Exoplanet Survey Satellite (TESS),7.8403800
AU Mic c,AU Mic,1,2,0,Transit,Transiting Exoplanet Survey Satellite (TESS),7.8403800
AU Mic c,AU Mic,1,2,0,Transit,Transiting Exoplanet Survey Satellite (TESS),7.8403800
AU Mic c,AU Mic,1,2,0,Transit,Transiting Exoplanet Survey Satellite (TESS),7.8403800
AU Mic c,AU Mic,1,2,0,Transit,Transiting Exoplanet Survey Satellite (TESS),7.8403800
BD+03 2562 b,BD+03 2562,1,1,0,Radial Velocity,Multiple Observatories,8.9977000
BD+14 4559 b,BD+14 4559,1,1,0,Radial Velocity,McDonald Observatory,9.3510800
BD+14 4559 b,BD+14 4559,1,1,0,Radial Velocity,McDonald Observatory,9.3510800
BD+15 2375 b,BD+15 2375,1,1,0,Radial Velocity,Roque de los Muchachos Observatory,9.9918000
BD+15 2940 b,BD+15 2940,1,1,0,Radial Velocity,McDonald Observatory,8.7178000
BD+20 2457 b,BD+20 2457,1,2,0,Radial Velocity,McDonald Observatory,9.2268400
BD+20 2457 b,BD+20 2457,1,2,0,Radial Velocity,McDonald Observatory,9.2268400
BD+20 2457 c,BD+20 2457,1,2,0,Radial Velocity,McDonald Observatory,9.2268400
BD+20 274 b,BD+20 274,1,1,0,Radial Velocity,McDonald Observatory,8.9161300
BD+20 594 b,BD+20 594,1,1,0,Transit,K2,10.8644000
BD+20 594 b,BD+20 594,1,1,0,Transit,K2,10.8644000
BD+20 594 b,BD+20 594,1,1,0,Transit,K2,10.8644000
BD+45 564 b,BD+45 564,1,1,0,Radial Velocity,Haute-Provence Observatory,9.4126600
BD+48 738 b,BD+48 738,1,1,0,Radial Velocity,McDonald Observatory,8.6556900
BD+48 740 b,BD+48 740,1,1,0,Radial Velocity,Multiple Observatories,8.2644900
BD+49 828 b,BD+49 828,1,1,0,Radial Velocity,McDonald Observatory,9.0285100
BD+55 362 b,BD+55 362,1,1,0,Radial Velocity,Haute-Provence Observatory,9.1530500
BD+60 1417 b,BD+60 1417,1,1,0,Imaging,Wide-field Infrared Survey Explorer (WISE) Sat,9.1743900
BD+63 1405 b,BD+63 1405,1,1,0,Radial Velocity,Haute-Provence Observatory,8.7050000
BD-00 4475 b,BD-00 4475,1,1,0,Radial Velocity,Haute-Provence Observatory,8.7810100
BD-06 1339 b,BD-06 1339,1,2,0,Radial Velocity,La Silla Observatory,9.1067700
BD-06 1339 c,BD-06 1339,1,2,0,Radial Velocity,La Silla Observatory,9.1067700
BD-08 2823 b,BD-08 2823,1,2,0,Radial Velocity,La Silla Observatory,9.5033100
BD-08 2823 b,BD-08 2823,1,2,0,Radial Velocity,La Silla Observatory,9.5033100
BD-08 2823 c,BD-08 2823,1,2,0,Radial Velocity,La Silla Observatory,9.5033100
BD-10 3166 b,BD-10 3166,1,1,0,Radial Velocity,W. M. Keck Observatory,9.8398100
BD-10 3166 b,BD-10 3166,1,1,0,Radial Velocity,W. M. Keck Observatory,9.8398100
BD-10 3166 b,BD-10 3166,1,1,0,Radial Velocity,W. M. Keck Observatory,9.8398100
BD-10 3166 b,BD-10 3166,1,1,0,Radial Velocity,W. M. Keck Observatory,9.8398100
BD-11 4672 b,BD-11 4672,1,2,0,Radial Velocity,La Silla Observatory,9.4851100
BD-11 4672 b,BD-11 4672,1,2,0,Radial Velocity,La Silla Observatory,9.4851100
BD-11 4672 c,BD-11 4672,1,2,0,Radial Velocity,Roque de los Muchachos Observatory,9.4851100
BD-13 2130 b,BD-13 2130,1,1,0,Radial Velocity,La Silla Observatory,9.6997100
BD-13 2130 b,BD-13 2130,1,1,0,Radial Velocity,La Silla Observatory,9.6997100
BD-17 63 b,BD-17 63,1,1,0,Radial Velocity,La Silla Observatory,9.2011200
BD-17 63 b,BD-17 63,1,1,0,Radial Velocity,La Silla Observatory,9.2011200
CD Cet b,CD Cet,1,1,0,Radial Velocity,Calar Alto Observatory,12.1232000
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,1,0,Imaging,W. M. Keck Observatory,
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,1,0,Imaging,Hubble Space Telescope,
CHXR 73 b,CHXR 73,1,1,0,Imaging,Hubble Space Telescope,17.2934000
CI Tau b,CI Tau,1,1,0,Radial Velocity,Multiple Observatories,12.1454000
COCONUTS-2 b,COCONUTS-2 A,1,1,0,Imaging,NASA Infrared Telescope Facility (IRTF),10.1460000
CT Cha b,CT Cha,1,1,0,Imaging,Paranal Observatory,11.7733000
CoRoT-1 b,CoRoT-1,1,1,0,Transit,CoRoT,13.4570000
CoRoT-1 b,CoRoT-1,1,1,0,Transit,CoRoT,13.4570000
CoRoT-1 b,CoRoT-1,1,1,0,Transit,CoRoT,13.4570000
CoRoT-1 b,CoRoT-1,1,1,0,Transit,CoRoT,13.4570000
CoRoT-1 b,CoRoT-1,1,1,0,Transit,CoRoT,13.4570000
CoRoT-1 b,CoRoT-1,1,1,0,Transit,CoRoT,13.4570000
CoRoT-1 b,CoRoT-1,1,1,0,Transit,CoRoT,13.4570000
CoRoT-10 b,CoRoT-10,1,1,0,Transit,CoRoT,14.6645000
CoRoT-10 b,CoRoT-10,1,1,0,Transit,CoRoT,14.6645000
CoRoT-10 b,CoRoT-10,1,1,0,Transit,CoRoT,14.6645000
CoRoT-11 b,CoRoT-11,1,1,0,Transit,CoRoT,12.8410000
CoRoT-11 b,CoRoT-11,1,1,0,Transit,CoRoT,12.8410000
CoRoT-11 b,CoRoT-11,1,1,0,Transit,CoRoT,12.8410000
CoRoT-11 b,CoRoT-11,1,1,0,Transit,CoRoT,12.8410000
CoRoT-11 b,CoRoT-11,1,1,0,Transit,CoRoT,12.8410000
CoRoT-12 b,CoRoT-12,1,1,0,Transit,CoRoT,15.3453000
CoRoT-12 b,CoRoT-12,1,1,0,Transit,CoRoT,15.3453000
CoRoT-12 b,CoRoT-12,1,1,0,Transit,CoRoT,15.3453000
CoRoT-12 b,CoRoT-12,1,1,0,Transit,CoRoT,15.3453000
CoRoT-12 b,CoRoT-12,1,1,0,Transit,CoRoT,15.3453000
CoRoT-12 b,CoRoT-12,1,1,0,Transit,CoRoT,15.3453000
CoRoT-13 b,CoRoT-13,1,1,0,Transit,CoRoT,14.9147000
CoRoT-13 b,CoRoT-13,1,1,0,Transit,CoRoT,14.9147000
CoRoT-13 b,CoRoT-13,1,1,0,Transit,CoRoT,14.9147000
CoRoT-13 b,CoRoT-13,1,1,0,Transit,CoRoT,14.9147000
CoRoT-13 b,CoRoT-13,1,1,0,Transit,CoRoT,14.9147000
CoRoT-14 b,CoRoT-14,1,1,0,Transit,CoRoT,15.8116000
CoRoT-14 b,CoRoT-14,1,1,0,Transit,CoRoT,15.8116000
CoRoT-14 b,CoRoT-14,1,1,0,Transit,CoRoT,15.8116000
CoRoT-16 b,CoRoT-16,1,1,0,Transit,CoRoT,15.6507000
CoRoT-16 b,CoRoT-16,1,1,0,Transit,CoRoT,15.6507000
CoRoT-17 b,CoRoT-17,1,1,0,Transit,CoRoT,15.4368000
CoRoT-17 b,CoRoT-17,1,1,0,Transit,CoRoT,15.4368000
CoRoT-17 b,CoRoT-17,1,1,0,Transit,CoRoT,15.4368000
CoRoT-18 b,CoRoT-18,1,1,0,Transit,CoRoT,14.8009000
CoRoT-18 b,CoRoT-18,1,1,0,Transit,CoRoT,14.8009000
CoRoT-18 b,CoRoT-18,1,1,0,Transit,CoRoT,14.8009000
CoRoT-18 b,CoRoT-18,1,1,0,Transit,CoRoT,14.8009000
CoRoT-18 b,CoRoT-18,1,1,0,Transit,CoRoT,14.8009000
CoRoT-18 b,CoRoT-18,1,1,0,Transit,CoRoT,14.8009000
CoRoT-19 b,CoRoT-19,1,1,0,Transit,CoRoT,13.7831000
CoRoT-19 b,CoRoT-19,1,1,0,Transit,CoRoT,13.7831000
CoRoT-19 b,CoRoT-19,1,1,0,Transit,CoRoT,13.7831000
CoRoT-19 b,CoRoT-19,1,1,0,Transit,CoRoT,13.7831000
CoRoT-19 b,CoRoT-19,1,1,0,Transit,CoRoT,13.7831000
CoRoT-2 b,CoRoT-2,2,1,0,Transit,CoRoT,12.2489000
CoRoT-2 b,CoRoT-2,2,1,0,Transit,CoRoT,12.2489000
CoRoT-2 b,CoRoT-2,2,1,0,Transit,CoRoT,12.2489000
CoRoT-2 b,CoRoT-2,2,1,0,Transit,CoRoT,12.2489000
CoRoT-2 b,CoRoT-2,2,1,0,Transit,CoRoT,12.2489000
CoRoT-2 b,CoRoT-2,2,1,0,Transit,CoRoT,12.2489000
CoRoT-2 b,CoRoT-2,2,1,0,Transit,CoRoT,12.2489000
CoRoT-2 b,CoRoT-2,2,1,0,Transit,CoRoT,12.2489000
CoRoT-2 b,CoRoT-2,2,1,0,Transit,CoRoT,12.2489000
CoRoT-2 b,CoRoT-2,2,1,0,Transit,CoRoT,12.2489000
CoRoT-2 b,CoRoT-2,2,1,0,Transit,CoRoT,12.2489000
CoRoT-20 b,CoRoT-20,1,2,0,Transit,CoRoT,14.4686000
CoRoT-20 b,CoRoT-20,1,2,0,Transit,CoRoT,14.4686000
CoRoT-20 b,CoRoT-20,1,2,0,Transit,CoRoT,14.4686000
CoRoT-20 b,CoRoT-20,1,2,0,Transit,CoRoT,14.4686000
CoRoT-20 b,CoRoT-20,1,2,0,Transit,CoRoT,14.4686000
CoRoT-20 b,CoRoT-20,1,2,0,Transit,CoRoT,14.4686000
CoRoT-20 c,CoRoT-20,1,2,0,Radial Velocity,Multiple Observatories,14.4686000
CoRoT-21 b,CoRoT-21,1,1,0,Transit,CoRoT,15.8558000
CoRoT-21 b,CoRoT-21,1,1,0,Transit,CoRoT,15.8558000
CoRoT-22 b,CoRoT-22,1,1,0,Transit,CoRoT,13.7305000
CoRoT-23 b,CoRoT-23,1,1,0,Transit,CoRoT,15.0681000
CoRoT-23 b,CoRoT-23,1,1,0,Transit,CoRoT,15.0681000
CoRoT-23 b,CoRoT-23,1,1,0,Transit,CoRoT,15.0681000
CoRoT-24 b,CoRoT-24,1,2,0,Transit,CoRoT,15.1801000
CoRoT-24 c,CoRoT-24,1,2,0,Transit,CoRoT,15.1801000
CoRoT-25 b,CoRoT-25,1,1,0,Transit,CoRoT,14.7110000
CoRoT-25 b,CoRoT-25,1,1,0,Transit,CoRoT,14.7110000
CoRoT-26 b,CoRoT-26,1,1,0,Transit,CoRoT,15.4682000
CoRoT-26 b,CoRoT-26,1,1,0,Transit,CoRoT,15.4682000
CoRoT-27 b,CoRoT-27,1,1,0,Transit,CoRoT,15.3902000
CoRoT-27 b,CoRoT-27,1,1,0,Transit,CoRoT,15.3902000
CoRoT-28 b,CoRoT-28,1,1,0,Transit,CoRoT,13.4119000
CoRoT-28 b,CoRoT-28,1,1,0,Transit,CoRoT,13.4119000
CoRoT-29 b,CoRoT-29,1,1,0,Transit,CoRoT,15.2394000
CoRoT-29 b,CoRoT-29,1,1,0,Transit,CoRoT,15.2394000
CoRoT-29 b,CoRoT-29,1,1,0,Transit,CoRoT,15.2394000
CoRoT-3 b,CoRoT-3,1,1,0,Transit,CoRoT,13.2188000
CoRoT-3 b,CoRoT-3,1,1,0,Transit,CoRoT,13.2188000
CoRoT-3 b,CoRoT-3,1,1,0,Transit,CoRoT,13.2188000
CoRoT-3 b,CoRoT-3,1,1,0,Transit,CoRoT,13.2188000
CoRoT-3 b,CoRoT-3,1,1,0,Transit,CoRoT,13.2188000
CoRoT-30 b,CoRoT-30,1,1,0,Transit,CoRoT,15.4130000
CoRoT-31 b,CoRoT-31,1,1,0,Transit,CoRoT,15.4655000
CoRoT-35 b,CoRoT-35,1,1,0,Transit,CoRoT,15.2625000
CoRoT-36 b,CoRoT-36,1,1,0,Transit,CoRoT,12.9515000
CoRoT-4 b,CoRoT-4,1,1,0,Transit,CoRoT,13.5613000
CoRoT-4 b,CoRoT-4,1,1,0,Transit,CoRoT,13.5613000
CoRoT-4 b,CoRoT-4,1,1,0,Transit,CoRoT,13.5613000
CoRoT-4 b,CoRoT-4,1,1,0,Transit,CoRoT,13.5613000
CoRoT-5 b,CoRoT-5,1,1,0,Transit,CoRoT,13.9021000
CoRoT-5 b,CoRoT-5,1,1,0,Transit,CoRoT,13.9021000
CoRoT-5 b,CoRoT-5,1,1,0,Transit,CoRoT,13.9021000
CoRoT-5 b,CoRoT-5,1,1,0,Transit,CoRoT,13.9021000
CoRoT-5 b,CoRoT-5,1,1,0,Transit,CoRoT,13.9021000
CoRoT-5 b,CoRoT-5,1,1,0,Transit,CoRoT,13.9021000
CoRoT-6 b,CoRoT-6,1,1,0,Transit,CoRoT,13.7459000
CoRoT-6 b,CoRoT-6,1,1,0,Transit,CoRoT,13.7459000
CoRoT-6 b,CoRoT-6,1,1,0,Transit,CoRoT,13.7459000
CoRoT-6 b,CoRoT-6,1,1,0,Transit,CoRoT,13.7459000
CoRoT-7 b,CoRoT-7,1,3,0,Transit,CoRoT,11.5239000
CoRoT-7 b,CoRoT-7,1,3,0,Transit,CoRoT,11.5239000
CoRoT-7 b,CoRoT-7,1,3,0,Transit,CoRoT,11.5239000
